antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'red pepper flake'}),frozenset({'garlic clove'}),0.090563533,0.296186799,0.04736334,0.522984677,1.765725817,0.020539617,1.475451977,0.476845467
frozenset({'red wine'}),frozenset({'garlic clove'}),0.041088452,0.296186799,0.021781103,0.53010279,1.78975833,0.009611246,1.497802469,0.460173149
frozenset({'green bell pepper'}),frozenset({'onion'}),0.030167733,0.283999035,0.019790033,0.656,2.309867007,0.011222426,2.081398155,0.584714142
frozenset({'green pepper'}),frozenset({'onion'}),0.028176662,0.283999035,0.019971039,0.708779443,2.495710748,0.011968894,2.458620962,0.616688771
frozenset({'italian sausage'}),frozenset({'onion'}),0.050018101,0.283999035,0.027874985,0.557297949,1.962323393,0.013669893,1.61734278,0.516220363
frozenset({'lasagna noodle'}),frozenset({'mozzarella cheese'}),0.026487269,0.152105708,0.018522988,0.699316629,4.597569934,0.014494123,2.819890866,0.803783831
frozenset({'lasagna noodle'}),frozenset({'parmesan cheese'}),0.026487269,0.316640521,0.018643659,0.703872437,2.222938601,0.010256716,2.307652393,0.565113329
frozenset({'lasagna noodle'}),frozenset({'ricotta cheese'}),0.026487269,0.063472909,0.013273802,0.501138952,7.895320336,0.011592578,1.877330561,0.897104544
frozenset({'mozzarella cheese'}),frozenset({'parmesan cheese'}),0.152105708,0.316640521,0.07650537,0.50297501,1.588473288,0.028342539,1.374899638,0.436923221
frozenset({'spaghetti sauce'}),frozenset({'mozzarella cheese'}),0.031676119,0.152105708,0.019186678,0.605714286,3.982193007,0.014368559,2.150456538,0.773379756
frozenset({'mushroom'}),frozenset({'onion'}),0.079763485,0.283999035,0.039942078,0.50075643,1.763232859,0.017289325,1.434171631,0.470379002
frozenset({'nutmeg'}),frozenset({'salt'}),0.033727525,0.350971401,0.017255943,0.511627907,1.45774814,0.005418546,1.328963322,0.324970908
frozenset({'penne pasta'}),frozenset({'olive oil'}),0.019548691,0.371787136,0.010257029,0.524691358,1.411268187,0.002989077,1.321694596,0.297227873
frozenset({'plum tomato'}),frozenset({'olive oil'}),0.024134186,0.371787136,0.012308435,0.51,1.371752678,0.003335655,1.282067068,0.277707868
frozenset({'red pepper flake'}),frozenset({'olive oil'}),0.090563533,0.371787136,0.046940992,0.518321119,1.394134085,0.013270635,1.304215087,0.310861605
